"filename", "language", "JavaScript", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\alper\Desktop\expiry\expiry_backend\services\shopService.js", "JavaScript", 134, 0, 0, 8, 33, 175
"c:\Users\alper\Desktop\expiry\expiry_backend\services\userService.js", "JavaScript", 137, 0, 0, 5, 44, 186
"c:\Users\alper\Desktop\expiry\expiry_backend\utils\auditHelper.js", "JavaScript", 117, 0, 0, 0, 7, 124
"c:\Users\alper\Desktop\expiry\expiry_backend\validators\admin.validator.js", "JavaScript", 11, 0, 0, 0, 2, 13
"c:\Users\alper\Desktop\expiry\expiry_backend\validators\order.validator.js", "JavaScript", 20, 0, 0, 1, 2, 23
"c:\Users\alper\Desktop\expiry\expiry_backend\validators\shop.validator.js", "JavaScript", 28, 0, 0, 0, 3, 31
"c:\Users\alper\Desktop\expiry\expiry_backend\validators\shopPackage.validator.js", "JavaScript", 50, 0, 0, 0, 3, 53
"c:\Users\alper\Desktop\expiry\expiry_backend\validators\shopProduct.validator.js", "JavaScript", 33, 0, 0, 0, 2, 35
"c:\Users\alper\Desktop\expiry\expiry_backend\validators\user.validator.js", "JavaScript", 43, 0, 0, 0, 3, 46
"c:\Users\alper\Desktop\expiry\postman\README.md", "Markdown", 0, 13, 0, 0, 4, 17
"c:\Users\alper\Desktop\expiry\postman\expiry-collection.json", "JSON", 0, 0, 2401, 0, 0, 2401
"Total", "-", 10966, 239, 17163, 92, 1412, 29872
